"centre_no","size","rest.cafe.400","bus.400.tram.600.train.800","supermarket.800","convenience.400","butcher.800","bakery.800","pharmacy.800","post.800","park.400","comm.ctr.800","childcare.800","kindergarten.800","primary.800","distsport.800","comm.health.800","mat.child.health.800","gp.400","dentist.800"
1,"small",82.9508196721311,92.4590163934426,9.18032786885246,0,0,0,1.9672131147541,0,100,0,100,100,96.3934426229508,56.7213114754098,0,6.22950819672131,0,21.3114754098361
10,"small",0,67.9611650485437,0,0,0,0,0,0,100,77.4757281553398,100,0,100,25.8252427184466,0,12.621359223301,14.368932038835,0
100,"small",22.4358974358974,100,0,0,0,0,1.28205128205128,0,100,0,95.2991452991453,78.6324786324786,1.28205128205128,100,0,0,22.2222222222222,94.017094017094
1000,"large",64.0826873385013,83.7209302325581,97.1576227390181,45.8656330749354,0,0,97.1576227390181,90.3100775193798,78.1653746770026,82.2997416020672,98.7080103359173,83.2041343669251,85.1421188630491,78.1653746770026,0,59.0439276485788,54.1343669250646,94.5736434108527
1001,"large",29.2464358452138,90.3462321792261,97.2301425661914,53.0753564154786,0,65.8248472505092,66.1507128309572,55.3971486761711,94.1751527494908,0,84.969450101833,42.2403258655804,54.5824847250509,97.3930753564155,0,77.8818737270876,38.3299389002037,92.1384928716904
1002,"small",1.5625,93.75,100,80,10.3125,0,10.9375,2.1875,89.375,0,100,31.5625,100,0,0,18.75,0,0
1003,"large",33.1417624521073,78.6079182630907,94.3167305236271,25.2873563218391,0,89.5913154533844,91.5708812260536,88.6334610472541,100,0,94.2528735632184,90.9961685823755,87.2924648786718,0,0,90.1021711366539,17.8799489144317,86.5261813537676
1004,"small",72.2826086956522,96.4673913043478,0,42.1195652173913,0,0,0,0,95.3804347826087,0,99.4565217391304,99.4565217391304,47.2826086956522,100,0,0,0,0
1005,"small",0,98.7421383647799,0,0,0,0,0,0,74.2138364779874,0,97.1698113207547,0,0,100,0,97.1698113207547,2.51572327044025,36.7924528301887
1006,"medium",35.5450236966825,38.8625592417062,92.5118483412322,17.914691943128,0,0,62.2748815165877,62.2748815165877,85.4976303317536,34.7867298578199,98.6729857819905,92.8909952606635,83.2227488151659,0.568720379146919,0,61.7061611374408,0,0
1007,"small",0,97.3607038123167,41.0557184750733,0,0,0,2.63929618768328,0,100,0,43.4017595307918,18.1818181818182,2.63929618768328,100,0,0.879765395894428,2.63929618768328,0
1008,"small",0,98.4276729559748,100,90.5660377358491,0,0,98.7421383647799,0,100,98.7421383647799,95.9119496855346,94.0251572327044,50.314465408805,1.88679245283019,0,84.2767295597484,90.5660377358491,30.5031446540881
1009,"medium",69.2982456140351,69.7368421052632,6.57894736842105,7.45614035087719,0,2.63157894736842,96.0526315789474,13.5964912280702,91.6666666666667,17.5438596491228,57.0175438596491,5.70175438596491,64.0350877192982,24.1228070175439,0,28.5087719298246,5.26315789473684,14.0350877192982
101,"small",0,64.3724696356275,23.0769230769231,0,0,23.0769230769231,37.0445344129555,0,98.9878542510121,0,100,100,0.809716599190283,100,0,1.21457489878543,0,12.1457489878543
1010,"medium",19.3690851735016,89.2744479495268,98.0441640378549,19.3690851735016,0,0,98.801261829653,97.0347003154574,73.8170347003155,1.07255520504732,97.4763406940063,64.6687697160883,55.0788643533123,65.1104100946372,0,30.0946372239748,17.5394321766561,70.5993690851735
1011,"large",63.562091503268,98.2843137254902,96.4869281045752,27.6143790849673,0,0,95.6699346405229,0,96.3235294117647,2.94117647058824,94.1993464052288,2.94117647058824,2.85947712418301,0,0,2.94117647058824,33.6601307189542,94.1993464052288
1012,"large",37.7537212449256,67.1628326567433,98.3761840324763,55.0293188994136,95.2638700947226,94.1813261163735,93.3243121335138,77.1763644564727,73.0717185385656,61.9756427604871,95.489400090212,44.4294091114118,71.9440685611186,49.7970230040595,0,11.8177717636446,43.7979251240415,91.8358141632837
1013,"small",85.9477124183007,98.3660130718954,0,0,0,0,0,0,100,0,100,0,91.5032679738562,100,0,100,85.9477124183007,0
1014,"small",0,87.4659400544959,3.81471389645777,0,0,0,0,0,99.7275204359673,0,100,48.5013623978202,100,100,0,37.3297002724796,0,0
1015,"small",0.448430493273543,84.7533632286996,100,89.237668161435,0,0,100,0,20.1793721973094,0,100,100,100,44.3946188340807,0,6.72645739910314,54.7085201793722,52.0179372197309
1016,"small",0,100,19.493670886076,86.8354430379747,33.1645569620253,28.3544303797468,5.82278481012658,7.34177215189873,100,31.3924050632911,100,85.3164556962025,71.8987341772152,0,0,0,94.6835443037975,14.9367088607595
1017,"small",92.3076923076923,94.5054945054945,95.6043956043956,89.010989010989,0,0,0,0,100,0,100,95.6043956043956,98.9010989010989,95.6043956043956,0,5.49450549450549,0,0
1018,"small",0,74.3589743589744,6.59340659340659,0,0,0,1.46520146520147,0,85.7142857142857,0,1.46520146520147,0,0,100,0,0,0,12.0879120879121
1019,"large",10.632183908046,81.5373563218391,95.0431034482759,25.7183908045977,0,1.72413793103448,85.9913793103448,9.19540229885057,97.9885057471264,69.4683908045977,97.8448275862069,61.9971264367816,29.0948275862069,86.2787356321839,0,61.9971264367816,34.2672413793103,64.0804597701149
102,"large",22.0836390315481,89.435069699193,92.0763022743947,22.0836390315481,88.3345561261922,88.3345561261922,0,0,54.6588407923698,83.9325018341893,98.8994864269993,14.6735143066764,49.9633162142333,91.0491562729274,0,82.3917828319883,50.5502567865004,66.4710198092443
1020,"small",60.5263157894737,85.2631578947368,100,83.6842105263158,0,0,100,0,33.1578947368421,0,100,76.3157894736842,41.0526315789474,62.1052631578947,0,27.8947368421053,0,0
1021,"small",25.3488372093023,47.6744186046512,70.4651162790698,5.81395348837209,0,0,51.6279069767442,40.2325581395349,96.9767441860465,0,98.1395348837209,50.4651162790698,98.1395348837209,94.6511627906977,0,46.9767441860465,24.1860465116279,100
1022,"small",84.9765258215963,89.6713615023474,99.5305164319249,92.018779342723,0,0,99.5305164319249,0,73.4741784037559,66.9014084507042,100,70.8920187793427,58.9201877934272,88.4976525821596,0,69.9530516431925,0,69.9530516431925
1023,"medium",22.0726783310902,73.3512786002692,96.7698519515478,27.1870794078062,0,0,0,0,90.7133243606999,0,92.5975773889637,37.1467025572005,34.9932705248991,58.4118438761777,0,0,0,0
1024,"small",0,96.3276836158192,4.80225988700565,0,0,0,0,0,82.7683615819209,0,100,99.7175141242938,100,99.7175141242938,0,84.4632768361582,0,0.847457627118644
1025,"large",29.3956043956044,34.8901098901099,96.978021978022,24.8626373626374,0,0,97.2527472527473,95.7417582417582,88.8736263736264,26.2362637362637,99.7252747252747,73.6263736263736,64.9725274725275,52.0604395604396,0,20.8791208791209,10.7142857142857,22.1153846153846
1026,"small",20.6611570247934,100,90.633608815427,30.8539944903581,0,0,79.0633608815427,5.50964187327824,53.9944903581267,53.7190082644628,68.870523415978,0,0,91.1845730027548,0,9.09090909090909,18.1818181818182,72.1763085399449
1027,"small",19.7183098591549,50.7042253521127,50.7042253521127,0,0,0,14.0845070422535,14.0845070422535,71.830985915493,0,100,0,0,0,0,0,0,0
1028,"small",3.44827586206897,53.2019704433498,100,95.5665024630542,0,0,74.384236453202,0,72.4137931034483,0,100,99.5073891625616,96.551724137931,0,0,99.5073891625616,0,0
